   1.80999994      0.514770150       196.807404      -1.00009954    
   1.80999994      0.514773071       196.907898     -0.980209529    
   1.80999994      0.514776051       197.010269     -0.959900618    
   1.80999994      0.514778972       197.110474     -0.940010726    
   1.80999994      0.514781892       197.210358     -0.920329809    
   1.80999994      0.514784873       197.312302     -0.900020957    
   1.80999994      0.514787793       197.412079     -0.880131006    
   1.80999994      0.514790773       197.513718     -0.859822094    
   1.80999994      0.514793694       197.613235     -0.839932144    
   1.80999994      0.514796615       197.711792     -0.820042193    
   1.80999994      0.514799595       197.812805     -0.799943149    
   1.80999994      0.514802516       197.911850     -0.780052423    
   1.80999994      0.514805436       198.010773     -0.760162473    
   1.80999994      0.514808416       198.111542     -0.739853561    
   1.80999994      0.514811337       198.210175     -0.719963610    
   1.80999994      0.514814258       198.308472     -0.700282753    
   1.80999994      0.514817238       198.408813     -0.679974675    
   1.80999994      0.514820158       198.506989     -0.660083890    
   1.80999994      0.514823079       198.605042     -0.640193939    
   1.80999994      0.514826059       198.704956     -0.619885087    
   1.80999994      0.514828980       198.802536     -0.600205004    
   1.80999994      0.514831960       198.902115     -0.579896092    
   1.80999994      0.514834881       198.998810     -0.560006142    
   1.80999994      0.514837801       199.096161     -0.540116191    
   1.80999994      0.514840782       199.195328     -0.519807279    
   1.80999994      0.514843702       199.292374     -0.499917358    
   1.80999994      0.514846623       199.389114     -0.480236471    
   1.80999994      0.514849603       199.487808     -0.459927589    
   1.80999994      0.514852524       199.584442     -0.440037638    
   1.80999994      0.514855444       199.680939     -0.420147687    
   1.80999994      0.514858425       199.779205     -0.399838805    
   1.80999994      0.514861345       199.875229     -0.380157918    
   1.80999994      0.514864326       199.973190     -0.359849036    
   1.80999994      0.514867246       200.069107     -0.339959085    
   1.80999994      0.514870167       200.164856     -0.320069134    
   1.80999994      0.514873147       200.262405     -0.299760222    
   1.80999994      0.514876068       200.357895     -0.279870301    
   1.80999994      0.514878988       200.452301     -0.260189414    
   1.80999994      0.514881968       200.549408     -0.239880517    
   1.80999994      0.514884889       200.644440     -0.219990566    
   1.80999994      0.514887810       200.739365     -0.200100616    
   1.80999994      0.514890790       200.835999     -0.179791719    
   1.80999994      0.514893711       200.930466     -0.160110846    
   1.80999994      0.514896631       201.024948     -0.140220895    
   1.80999994      0.514899611       201.121185     -0.119912006    
   1.80999994      0.514902532       201.215363     -0.100022055    
   1.80999994      0.514905512       201.311310      -7.97131583E-02
   1.80999994      0.514908433       201.405228      -5.98232150E-02
   1.80999994      0.514911354       201.498825      -4.01423387E-02
   1.80999994      0.514914334       201.594315      -1.98342483E-02
   1.80999994      0.514917254       201.687790       5.61019224E-05
   1.80999994      0.514920175       201.781158       1.99460499E-02
   1.80999994      0.514923155       201.876190       4.02549431E-02
   1.80999994      0.514926076       201.969101       5.99358231E-02
   1.80999994      0.514928997       202.061249       7.98257664E-02
   1.80999994      0.514931977       202.155884      0.100134663    
   1.80999994      0.514934897       202.248505      0.120024614    
   1.80999994      0.514937878       202.342850      0.140333503    
   1.80999994      0.514940798       202.435028      0.160013974    
   1.80999994      0.514943719       202.527222      0.179903924    
   1.80999994      0.514946699       202.621140      0.200212821    
   1.80999994      0.514949620       202.713028      0.220102772    
   1.80999994      0.514952540       202.804825      0.239993125    
   1.80999994      0.514955521       202.898300      0.260301620    
   1.80999994      0.514958441       202.989639      0.279982477    
   1.80999994      0.514961362       203.080978      0.299872428    
   1.80999994      0.514964342       203.173996      0.320181340    
   1.80999994      0.514967263       203.265060      0.340071291    
   1.80999994      0.514970183       203.356003      0.359961241    
   1.80999994      0.514973164       203.448471      0.380060643    
   1.80999994      0.514976084       203.539047      0.399951011    
   1.80999994      0.514979064       203.631378      0.420259893    
   1.80999994      0.514981985       203.721741      0.440149844    
   1.80999994      0.514984906       203.811935      0.460039794    
   1.80999994      0.514987886       203.903839      0.480348676    
   1.80999994      0.514990807       203.992889      0.500029147    
   1.80999994      0.514993727       204.082657      0.519919515    
   1.80999994      0.514996707       204.174088      0.540228009    
   1.80999994      0.514999628       204.263580      0.560118377    
   1.80999994      0.515002549       204.352966      0.580008328    
   1.80999994      0.515005529       204.443832      0.600107729    
   1.80999994      0.515008450       204.532883      0.619997680    
   1.80999994      0.515011430       204.623611      0.640306592    
   1.80999994      0.515014350       204.712402      0.660196543    
   1.80999994      0.515017271       204.801071      0.680086434    
   1.80999994      0.515020251       204.891190      0.700185895    
   1.80999994      0.515023172       204.979584      0.720076263    
   1.80999994      0.515026093       205.067825      0.739966154    
   1.80999994      0.515029073       205.157669      0.760275066    
   1.80999994      0.515031993       205.245621      0.780165017    
   1.80999994      0.515034914       205.333420      0.800054967    
   1.80999994      0.515037894       205.422699      0.820154369    
   1.80999994      0.515040815       205.510239      0.840044320    
   1.80999994      0.515043736       205.597595      0.859934688    
   1.80999994      0.515046716       205.686569      0.880243182    
   1.80999994      0.515049636       205.773682      0.900133550    
   1.80999994      0.515052617       205.862259      0.920232952    
   1.80999994      0.515055537       205.949081      0.940122902    
   1.80999994      0.515058458       206.035751      0.960012853    
   1.80999994      0.515061438       206.124039      0.980321765    
   1.80999994      0.515064359       206.210403       1.00021172    

   1.82637990      0.530961215       240.464142     -0.999979258    
   1.82637990      0.530967116       240.416122     -0.980061233    
   1.82637990      0.530973017       240.367691     -0.960035920    
   1.82637990      0.530978918       240.318970     -0.940010667    
   1.82637990      0.530984819       240.270096     -0.919985354    
   1.82637990      0.530990720       240.221771     -0.900067747    
   1.82637990      0.530996621       240.172668     -0.880042493    
